age_range,gender,study_level,study_year,study_field ,extracurricular_activities,cog_engage1,cog_engage2,cog_engage3,cog_engage4,exercise_improve_cognition,exercise_regulate_emotion,nature_improve,nutritional_balanced_freq,junk_food_freq,nutritional_mood_focus,creative_activities_benefits,doomscroll_exhaust,screen_time,screen_content,sleep_deprivation_reason,sleep_disrupt_flexibility,multitask_check_phone,multitask_notifications,sedentary_behavior1,sedentary_behavior2,learning1,learning2,performance_reflects_potential,responsibilities_interfere
18-23 years,Male,Undergraduate,4th Year,Life Sciences,Online Business,Strongly Agree,Disagree,Disagree,Strongly Agree,Mostly,Agree,Often,Often,Daily,Never,Strongly Agree,Disagree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Stress or Anxiety,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Internship,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Extremely,Mostly,Often,Sometimes,3-4 times/week,Often,Strongly Agree,Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Social Media Scrolling / Doomscrolling",Academic Workload,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
18-23 years,Female,Postgraduates,,Humanities,,Agree,Agree,Neutral,Neutral,A little,Neutral,Sometimes,Often,1-2 times/week,Sometimes,Agree,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)","Use of Electronic Devices before bed, Irregular Routine",Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Disagree
24-27 years,Female,Postgraduates,,Life Sciences,Research Work,Neutral,Neutral,Neutral,Neutral,Neutral,Extremely,Often,Always,1-2 times/week,Sometimes,Neutral,Neutral,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Postgraduates,,Humanities,Research Work,Agree,Agree,Strongly Agree,Agree,Neutral,Mostly,Sometimes,Always,1-2 times/week,Never,Neutral,Agree,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Internship,Agree,Disagree,Agree,Agree,Mostly,Mostly,Often,Sometimes,3-4 times/week,Often,Agree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)","Use of Electronic Devices before bed, Stress or Anxiety",Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree
18-23 years,Female,Undergraduate,4th Year,Medical Sciences,,Agree,Strongly Agree,Agree,Agree,Mostly,Extremely,Always,Always,1-2 times/week,Always,Strongly Agree,Neutral,6-8 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral
24-27 years,Female,Undergraduate,4th Year,Applied Arts,,Agree,Agree,Strongly Agree,Agree,Mostly,Neutral,Sometimes,Sometimes,1-2 times/week,Always,Strongly Agree,Neutral,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree
18-23 years,Female,Postgraduates,,Humanities,Research Work,Agree,Strongly Agree,Neutral,Neutral,Mostly,Mostly,Often,Often,1-2 times/week,Often,Agree,Disagree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Academic Workload, Use of Electronic Devices before bed",Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree
24-27 years,Female,Postgraduates,,Social Sciences,"Part-time Job, Research Work",Agree,Neutral,Agree,Strongly Agree,Extremely,Mostly,Often,Sometimes,1-2 times/week,Sometimes,Strongly Agree,Strongly Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree
